model,epochs,batch_size,latent_dims,learning_rates,fc_layers_sizes,loss,accuracy,loss_history,hr_score
baseline,100.0,64.0,16.0,0.01,"[512, 256, 128]",7.920241355895996,0.0,"[11.905288696289062, 10.664831161499023, 9.646496772766113, 9.218009948730469, 8.366576194763184, 8.00683879852295, 7.8392720222473145, 7.715979099273682, 7.624526023864746, 7.776485919952393, 7.791642665863037, 7.920241355895996]",0.010582010582010581
baseline,100.0,64.0,16.0,0.01,"[256, 128, 64]",8.677905082702637,0.01315789483487606,"[10.120770454406738, 9.544306755065918, 9.097622871398926, 8.636741638183594, 8.270634651184082, 7.993978977203369, 7.851856231689453, 7.71951150894165, 7.500236988067627, 7.3958048820495605, 7.354567050933838, 7.297114372253418, 7.479300022125244, 8.33812427520752, 8.677905082702637]",0.026455026455026454
baseline,100.0,64.0,16.0,0.01,"[128, 64, 32]",8.395369529724121,0.01315789483487606,"[9.085783958435059, 8.788288116455078, 8.5062894821167, 8.265427589416504, 8.085868835449219, 7.966280460357666, 7.8225531578063965, 7.668363094329834, 7.551666259765625, 7.459473609924316, 7.38960599899292, 7.365604400634766, 7.485973834991455, 7.862086296081543, 8.395369529724121]",0.021164021164021163
baseline,100.0,64.0,16.0,0.1,"[512, 256, 128]",39.361541748046875,0.0,"[105.800537109375, 89.8932113647461, 23.475191116333008, 28.464872360229492, 34.53913879394531, 39.361541748046875]",0.047619047619047616
baseline,100.0,64.0,16.0,0.1,"[256, 128, 64]",14.674666404724121,0.0,"[22.531295776367188, 16.75457191467285, 11.845719337463379, 12.794966697692871, 14.622879981994629, 14.674666404724121]",0.031746031746031744
baseline,100.0,64.0,16.0,0.1,"[128, 64, 32]",8.52840518951416,0.0,"[8.389659881591797, 7.966479778289795, 9.366801261901855, 8.553884506225586, 8.52840518951416]",0.0582010582010582
baseline,100.0,64.0,32.0,0.01,"[512, 256, 128]",8.499743461608887,0.0,"[12.372200012207031, 10.898540496826172, 10.0144681930542, 8.975439071655273, 8.37908935546875, 7.9919023513793945, 7.73809814453125, 7.654252052307129, 7.615489959716797, 7.546804428100586, 7.550988674163818, 7.8762526512146, 8.499743461608887]",0.031746031746031744
baseline,100.0,64.0,32.0,0.01,"[256, 128, 64]",8.712944984436035,0.01315789483487606,"[10.54584789276123, 9.848301887512207, 9.252389907836914, 8.812967300415039, 8.417840957641602, 8.059560775756836, 7.820744514465332, 7.6380486488342285, 7.496647834777832, 7.399944305419922, 7.3824639320373535, 7.687389850616455, 8.695502281188965, 8.712944984436035]",0.021164021164021163
baseline,100.0,64.0,32.0,0.01,"[128, 64, 32]",8.22005558013916,0.0,"[9.395174980163574, 9.044334411621094, 8.723794937133789, 8.427433013916016, 8.168895721435547, 8.011777877807617, 7.91078519821167, 7.723511695861816, 7.564798355102539, 7.4559736251831055, 7.384932518005371, 7.345996856689453, 7.39326810836792, 7.6540751457214355, 8.22005558013916]",0.021164021164021163
baseline,100.0,64.0,32.0,0.1,"[512, 256, 128]",56.16991424560547,0.01315789483487606,"[137.1227264404297, 81.29560089111328, 45.61473083496094, 35.56735610961914, 42.84822082519531, 50.617393493652344, 56.16991424560547]",0.047619047619047616
baseline,100.0,64.0,32.0,0.1,"[256, 128, 64]",15.7991361618042,0.01315789483487606,"[14.797978401184082, 17.529455184936523, 14.101630210876465, 13.680276870727539, 14.690645217895508, 17.307010650634766, 15.7991361618042]",0.021164021164021163
baseline,100.0,64.0,32.0,0.1,"[128, 64, 32]",9.359508514404297,0.0,"[10.968643188476562, 8.231348037719727, 14.776532173156738, 9.18450927734375, 9.359508514404297]",0.021164021164021163
baseline,100.0,64.0,64.0,0.01,"[512, 256, 128]",8.750515937805176,0.0,"[13.149848937988281, 11.464872360229492, 10.30871868133545, 9.209901809692383, 8.562610626220703, 8.148249626159668, 7.915231704711914, 7.887146949768066, 7.805233478546143, 7.897799968719482, 7.789940357208252, 7.894161701202393, 8.470664978027344, 8.750515937805176]",0.037037037037037035
baseline,100.0,64.0,64.0,0.01,"[256, 128, 64]",8.808545112609863,0.0,"[11.089132308959961, 10.215032577514648, 9.475996971130371, 8.910884857177734, 8.46096134185791, 8.153114318847656, 7.902469635009766, 7.656497478485107, 7.525684356689453, 7.44516134262085, 7.448403835296631, 7.876148223876953, 8.808545112609863]",0.026455026455026454
baseline,100.0,64.0,64.0,0.01,"[128, 64, 32]",7.882312297821045,0.01315789483487606,"[9.72669506072998, 9.287405014038086, 8.901681900024414, 8.562032699584961, 8.257148742675781, 8.003480911254883, 7.870016098022461, 7.747315883636475, 7.615764617919922, 7.497331142425537, 7.395200252532959, 7.344996452331543, 7.391676902770996, 7.531780242919922, 7.882312297821045]",0.021164021164021163
baseline,100.0,64.0,64.0,0.1,"[512, 256, 128]",52.32698059082031,0.0,"[106.6767807006836, 94.07879638671875, 33.56346130371094, 41.81330871582031, 45.75776672363281, 52.32698059082031]",0.047619047619047616
baseline,100.0,64.0,64.0,0.1,"[256, 128, 64]",20.337120056152344,0.0,"[30.609712600708008, 12.548855781555176, 22.129737854003906, 16.459150314331055, 20.337120056152344]",0.026455026455026454
baseline,100.0,64.0,64.0,0.1,"[128, 64, 32]",9.219229698181152,0.01315789483487606,"[8.629697799682617, 8.577714920043945, 17.55604362487793, 9.102996826171875, 9.219229698181152]",0.015873015873015872
baseline,100.0,64.0,128.0,0.01,"[512, 256, 128]",8.116630554199219,0.0,"[14.135038375854492, 11.960343360900879, 10.295766830444336, 9.146060943603516, 8.455424308776855, 7.956191062927246, 7.770402431488037, 7.711950302124023, 7.7081217765808105, 7.9362101554870605, 7.851743221282959, 8.116630554199219]",0.015873015873015872
baseline,100.0,64.0,128.0,0.01,"[256, 128, 64]",8.966309547424316,0.01315789483487606,"[11.634794235229492, 10.50563907623291, 9.588679313659668, 8.88346004486084, 8.479866027832031, 8.042085647583008, 7.750354766845703, 7.597622394561768, 7.5132222175598145, 7.502225399017334, 7.474480152130127, 7.589676856994629, 8.097758293151855, 8.966309547424316]",0.031746031746031744
baseline,100.0,64.0,128.0,0.01,"[128, 64, 32]",7.8897624015808105,0.01315789483487606,"[9.959431648254395, 9.386890411376953, 8.915119171142578, 8.526865005493164, 8.205662727355957, 7.937719821929932, 7.764218807220459, 7.8126912117004395, 8.140254020690918, 7.8897624015808105]",0.021164021164021163
baseline,100.0,64.0,128.0,0.1,"[512, 256, 128]",66.75083923339844,0.0,"[46.6650505065918, 172.68704223632812, 37.90752029418945, 212.48004150390625, 54.959754943847656, 66.75083923339844]",0.026455026455026454
baseline,100.0,64.0,128.0,0.1,"[256, 128, 64]",15.519850730895996,0.0,"[13.666050910949707, 15.759422302246094, 15.28188419342041, 15.519850730895996]",0.026455026455026454
baseline,100.0,64.0,128.0,0.1,"[128, 64, 32]",12.32975959777832,0.0,"[9.160368919372559, 29.530593872070312, 10.229682922363281, 12.32975959777832]",0.031746031746031744
baseline,100.0,128.0,16.0,0.01,"[512, 256, 128]",8.391053199768066,0.0,"[11.827109336853027, 10.522138595581055, 9.59716796875, 8.785845756530762, 8.247282028198242, 7.927410125732422, 8.480203628540039, 9.056568145751953, 8.391053199768066]",0.026455026455026454
baseline,100.0,128.0,16.0,0.01,"[256, 128, 64]",8.224392890930176,0.01315789483487606,"[10.120664596557617, 9.486320495605469, 8.916519165039062, 8.551984786987305, 8.335590362548828, 8.0206298828125, 7.8936004638671875, 8.037209510803223, 8.259941101074219, 8.224392890930176]",0.026455026455026454
baseline,100.0,128.0,16.0,0.01,"[128, 64, 32]",8.255090713500977,0.01315789483487606,"[9.046521186828613, 8.764778137207031, 8.476966857910156, 8.205784797668457, 8.034258842468262, 7.8793044090271, 7.82916259765625, 7.936283111572266, 8.163640022277832, 8.255090713500977]",0.015873015873015872
baseline,100.0,128.0,16.0,0.1,"[512, 256, 128]",40.79475021362305,0.0,"[64.12064361572266, 104.93537902832031, 30.959970474243164, 26.44147300720215, 33.71044158935547, 38.893653869628906, 40.79475021362305]",0.015873015873015872
baseline,100.0,128.0,16.0,0.1,"[256, 128, 64]",12.492500305175781,0.0,"[12.515329360961914, 11.609736442565918, 11.40599536895752, 12.322446823120117, 12.253776550292969, 12.492500305175781]",0.005291005291005291
baseline,100.0,128.0,16.0,0.1,"[128, 64, 32]",8.490035057067871,0.0,"[8.401247024536133, 7.849039077758789, 11.07596492767334, 8.433658599853516, 8.490035057067871]",0.026455026455026454
baseline,100.0,128.0,32.0,0.01,"[512, 256, 128]",8.166889190673828,0.0,"[12.334309577941895, 10.926132202148438, 9.82733154296875, 8.869016647338867, 8.27449893951416, 7.928095817565918, 8.390511512756348, 8.466099739074707, 8.166889190673828]",0.031746031746031744
baseline,100.0,128.0,32.0,0.01,"[256, 128, 64]",8.70082950592041,0.01315789483487606,"[10.536237716674805, 9.790043830871582, 9.23168659210205, 8.693262100219727, 8.27518367767334, 7.992282867431641, 8.04796028137207, 8.55345630645752, 8.70082950592041]",0.0
baseline,100.0,128.0,32.0,0.01,"[128, 64, 32]",8.402750015258789,0.01315789483487606,"[9.403848648071289, 9.051523208618164, 8.731468200683594, 8.441036224365234, 8.202634811401367, 8.028816223144531, 8.021097183227539, 8.318596839904785, 8.460110664367676, 8.402750015258789]",0.021164021164021163
baseline,100.0,128.0,32.0,0.1,"[512, 256, 128]",35.96913528442383,0.01315789483487606,"[44.40632247924805, 53.608882904052734, 24.308156967163086, 28.100618362426758, 41.19461441040039, 35.96913528442383]",0.010582010582010581
baseline,100.0,128.0,32.0,0.1,"[256, 128, 64]",14.040275573730469,0.0,"[10.375744819641113, 11.122695922851562, 11.211004257202148, 14.040275573730469]",0.031746031746031744
baseline,100.0,128.0,32.0,0.1,"[128, 64, 32]",8.927227973937988,0.01315789483487606,"[8.551117897033691, 8.188470840454102, 11.022908210754395, 8.900688171386719, 8.927227973937988]",0.010582010582010581
baseline,100.0,128.0,64.0,0.01,"[512, 256, 128]",8.50396728515625,0.01315789483487606,"[13.133453369140625, 11.429586410522461, 10.029485702514648, 9.096352577209473, 8.382957458496094, 7.9582719802856445, 8.006698608398438, 9.082723617553711, 8.50396728515625]",0.031746031746031744
baseline,100.0,128.0,64.0,0.01,"[256, 128, 64]",8.551642417907715,0.01315789483487606,"[11.119416236877441, 10.218437194824219, 9.513019561767578, 9.083121299743652, 8.51413631439209, 8.05927848815918, 7.864166259765625, 7.9911627769470215, 8.49112319946289, 8.551642417907715]",0.026455026455026454
baseline,100.0,128.0,64.0,0.01,"[128, 64, 32]",8.571840286254883,0.0,"[9.685710906982422, 9.234929084777832, 8.829084396362305, 8.454010963439941, 8.13640308380127, 7.956165313720703, 8.131916999816895, 8.521090507507324, 8.571840286254883]",0.047619047619047616
baseline,100.0,128.0,64.0,0.1,"[512, 256, 128]",56.737831115722656,0.0,"[85.31784057617188, 103.05168914794922, 37.010562896728516, 120.76445770263672, 48.25407791137695, 56.737831115722656]",0.037037037037037035
baseline,100.0,128.0,64.0,0.1,"[256, 128, 64]",13.174737930297852,0.01315789483487606,"[12.165214538574219, 12.899138450622559, 13.160974502563477, 13.174737930297852]",0.015873015873015872
baseline,100.0,128.0,64.0,0.1,"[128, 64, 32]",9.01348876953125,0.01315789483487606,"[8.489712715148926, 8.480280876159668, 11.490456581115723, 9.037084579467773, 9.01348876953125]",0.005291005291005291
baseline,100.0,128.0,128.0,0.01,"[512, 256, 128]",8.772357940673828,0.01315789483487606,"[14.162520408630371, 12.038717269897461, 10.371868133544922, 9.292630195617676, 8.474798202514648, 7.980215072631836, 7.79763650894165, 8.517976760864258, 9.960845947265625, 8.772357940673828]",0.047619047619047616
baseline,100.0,128.0,128.0,0.01,"[256, 128, 64]",8.665226936340332,0.0,"[11.62285041809082, 10.467938423156738, 9.551614761352539, 9.183427810668945, 8.540261268615723, 8.036355018615723, 7.827078342437744, 7.866738796234131, 8.303061485290527, 8.665226936340332]",0.031746031746031744
baseline,100.0,128.0,128.0,0.01,"[128, 64, 32]",8.571948051452637,0.01315789483487606,"[9.901248931884766, 9.312334060668945, 8.809530258178711, 8.367351531982422, 8.006583213806152, 7.821667194366455, 8.04958438873291, 8.550419807434082, 8.571948051452637]",0.015873015873015872
baseline,100.0,128.0,128.0,0.1,"[512, 256, 128]",149.70513916015625,0.0,"[29.922164916992188, 205.21755981445312, 35.684120178222656, 149.70513916015625]",0.010582010582010581
baseline,100.0,128.0,128.0,0.1,"[256, 128, 64]",15.067986488342285,0.0,"[12.239137649536133, 12.1276216506958, 19.16200065612793, 12.903039932250977, 15.067986488342285]",0.010582010582010581
baseline,100.0,128.0,128.0,0.1,"[128, 64, 32]",12.127266883850098,0.01315789483487606,"[9.137664794921875, 29.310359954833984, 9.901926040649414, 12.127266883850098]",0.031746031746031744
baseline,200.0,32.0,16.0,0.01,"[512, 256, 128]",7.826756477355957,0.01315789483487606,"[11.951089859008789, 10.742426872253418, 9.816683769226074, 9.054798126220703, 8.539844512939453, 8.186164855957031, 7.9676737785339355, 7.873396873474121, 7.923760890960693, 7.909847259521484, 7.7327117919921875, 7.742422103881836, 7.726952075958252, 7.740809440612793, 7.8299455642700195, 7.826756477355957]",0.047619047619047616
baseline,200.0,32.0,16.0,0.01,"[256, 128, 64]",7.304880142211914,0.0,"[10.13561725616455, 9.574618339538574, 9.086762428283691, 8.692769050598145, 8.367086410522461, 8.074808120727539, 7.847319602966309, 7.826167106628418, 7.72291898727417, 7.590466022491455, 7.430347442626953, 7.3647613525390625, 7.384812355041504, 7.356466293334961, 7.320000171661377, 7.294328212738037, 7.313665390014648, 7.301170825958252, 7.304880142211914]",0.031746031746031744
baseline,200.0,32.0,16.0,0.01,"[128, 64, 32]",7.526734828948975,0.0,"[9.073872566223145, 8.7918119430542, 8.53679084777832, 8.314152717590332, 8.141277313232422, 8.010992050170898, 7.8821587562561035, 7.761209487915039, 7.651248931884766, 7.572758674621582, 7.504643440246582, 7.448004245758057, 7.40115213394165, 7.375363826751709, 7.389043807983398, 7.41672945022583, 7.526734828948975]",0.010582010582010581
baseline,200.0,32.0,16.0,0.1,"[512, 256, 128]",44.30440902709961,0.0,"[142.0186767578125, 51.08376693725586, 41.7278938293457, 33.22038650512695, 33.99671936035156, 39.43764877319336, 44.30440902709961]",0.047619047619047616
baseline,200.0,32.0,16.0,0.1,"[256, 128, 64]",13.44459056854248,0.0,"[18.502737045288086, 14.509300231933594, 11.444770812988281, 16.542348861694336, 12.902976989746094, 13.44459056854248]",0.06349206349206349
baseline,200.0,32.0,16.0,0.1,"[128, 64, 32]",8.908241271972656,0.0,"[11.084005355834961, 8.242907524108887, 8.654402732849121, 8.923483848571777, 8.908241271972656]",0.037037037037037035
baseline,200.0,32.0,32.0,0.01,"[512, 256, 128]",8.685091972351074,0.01315789483487606,"[12.433826446533203, 11.174222946166992, 10.017852783203125, 9.19753646850586, 8.616151809692383, 8.288061141967773, 7.975743293762207, 7.817061424255371, 7.776239395141602, 7.723201751708984, 7.719912052154541, 7.7370195388793945, 7.782419204711914, 7.6899027824401855, 7.684835433959961, 7.631810188293457, 7.664072036743164, 7.693040370941162, 7.501341342926025, 7.42559814453125, 7.3706183433532715, 7.3256964683532715, 7.4182024002075195, 7.939167022705078, 8.685091972351074]",0.015873015873015872
baseline,200.0,32.0,32.0,0.01,"[256, 128, 64]",7.528402328491211,0.01315789483487606,"[10.600016593933105, 9.94735336303711, 9.38184928894043, 8.902990341186523, 8.509387016296387, 8.205589294433594, 7.993813991546631, 7.811194896697998, 7.703413963317871, 7.709981918334961, 7.5699310302734375, 7.473033905029297, 7.432797908782959, 7.416154384613037, 7.386967658996582, 7.43777322769165, 7.653286457061768, 7.528402328491211]",0.021164021164021163
baseline,200.0,32.0,32.0,0.01,"[128, 64, 32]",7.971519947052002,0.01315789483487606,"[9.42499828338623, 9.0897798538208, 8.789359092712402, 8.525982856750488, 8.301224708557129, 8.114017486572266, 7.951578140258789, 7.813269138336182, 7.6924872398376465, 7.608830451965332, 7.582502841949463, 7.538873195648193, 7.490494728088379, 7.440759658813477, 7.368747234344482, 7.300897121429443, 7.266628265380859, 7.264228343963623, 7.3268232345581055, 7.3346333503723145, 7.250097274780273, 7.208856582641602, 7.261316299438477, 7.494579315185547, 7.971519947052002]",0.042328042328042326
baseline,200.0,32.0,32.0,0.1,"[512, 256, 128]",58.66196823120117,0.0,"[248.3184051513672, 61.940338134765625, 39.179439544677734, 38.45643615722656, 79.79173278808594, 51.6645622253418, 58.66196823120117]",0.031746031746031744
baseline,200.0,32.0,32.0,0.1,"[256, 128, 64]",13.292218208312988,0.01315789483487606,"[15.463055610656738, 11.330672264099121, 14.530228614807129, 12.80843448638916, 13.292218208312988]",0.031746031746031744
