model,epochs,batch_size,latent_dims,learning_rates,fc_layers_sizes,loss,accuracy,loss_history,hr_score
MF,50.0,,128.0,0.01,,0.6397519578089087,,"[32.95905041448019, 1.3754659837572967, 0.9880100530893714, 0.8614824713101648, 0.8012350392737755, 0.7679292981176176, 0.7475000328291713, 0.7338465466514383, 0.7240134596878384, 0.7164614463708758, 0.7103461686474281, 0.7051853199415776, 0.7006933134954404, 0.696694858555086, 0.6930780926985973, 0.6897684959488508, 0.6867140991539458, 0.683876973106087, 0.681228259518972, 0.6787452155412322, 0.6764094099746462, 0.6742055836785246, 0.6721208984844268, 0.6701444187755393, 0.6682667373247828, 0.6664796946813071, 0.6647761623406447, 0.663149871557317, 0.661595276164807, 0.6601074415001983, 0.6586819537696136, 0.6573148456195516, 0.6560025346558876, 0.6547417723613237, 0.6535296013994869, 0.6523633197116181, 0.6512404501403231, 0.6501587145741545, 0.6491160118113201, 0.6481103985018583, 0.6471400726542577, 0.6462033592920206, 0.6452986979240103, 0.6444246315542315, 0.6435797970056718, 0.6427629163718429, 0.6419727894409033, 0.6412082869624504, 0.6404683446475035, 0.6397519578089087]",0.021983032873807
MF,50.0,,128.0,0.1,,0.0,,"[33.1508117283775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03214209968186638
MF,70.0,,16.0,0.01,,0.7414870025853229,,"[5.213352808223105, 1.1727160513637265, 1.0668023704156595, 1.0158015648335248, 0.9831615718486492, 0.959404292319046, 0.9408410109064669, 0.9258418904258139, 0.9134823288450827, 0.9031188883440735, 0.8942545023954711, 0.8865033821448438, 0.8795752123052111, 0.8732580666460991, 0.8674007579205899, 0.8618974692705419, 0.8566757037713039, 0.8516872217177158, 0.8469011520913418, 0.8422985922479322, 0.8378683356028215, 0.8336035982964647, 0.8294996843344205, 0.8255524940032374, 0.8217577204019104, 0.8181105430897743, 0.8146056309594395, 0.8112372998450159, 0.8079997168403129, 0.8048870879273695, 0.8018938001103085, 0.7990145118129427, 0.7962441975335842, 0.7935781576952168, 0.7910120051995106, 0.7885416385859616, 0.7861632093220738, 0.7838730883878562, 0.7816678353258156, 0.7795441714137742, 0.7774989575603669, 0.7755291768451111, 0.7736319212358926, 0.7718043818326245, 0.77004384193742, 0.7683476722859232, 0.7667133278533403, 0.7651383457463127, 0.7636203437915717, 0.7621570195246983, 0.7607461493624116, 0.7593855878079245, 0.7580732665912462, 0.7568071936862049, 0.7555854521752007, 0.7544061989532379, 0.7532676632764809, 0.7521681451690712, 0.751106013706626, 0.7500797051968527, 0.7490877212779015, 0.74812862695416, 0.7472010485875962, 0.7463036718608625, 0.745435239726397, 0.7445945503538337, 0.7437804550862637, 0.7429918564142948, 0.7422277059754605, 0.7414870025853229]",0.018865323435843056
MF,70.0,,16.0,0.1,,0.7634779068773575,,"[5.186239467783471, 1.0372374380684721, 0.9045998946941574, 0.8664663211418484, 0.843134454381365, 0.8267673180530327, 0.8146564521643587, 0.8055631275596309, 0.7986808495688923, 0.7934119478015903, 0.7893132804555751, 0.7860642671284251, 0.7834382156433585, 0.7812766997066035, 0.7794689597641411, 0.7779367955306262, 0.7766240189154671, 0.7754892616800909, 0.7745011772567395, 0.7736353111605233, 0.772872088588954, 0.7721955220219231, 0.771592371479751, 0.7710515850955586, 0.7705639106245425, 0.7701216090178737, 0.7697182278039344, 0.7693484098868115, 0.7690077251007514, 0.7686925189986535, 0.7683997771896354, 0.7681270052230321, 0.7678721244339145, 0.7676333839054971, 0.7674092881297889, 0.7671985393040769, 0.766999992664156, 0.7668126229312121, 0.7666354998608302, 0.7664677709839666, 0.7663086498430456, 0.7661574082791746, 0.7660133715725839, 0.7658759154594746, 0.7657444642443721, 0.7656184894042549, 0.765497508244158, 0.7653810823143533, 0.7652688154336064, 0.7651603512769094, 0.7650553705754851, 0.7649535880394652, 0.7648547491492887, 0.7647586269723831, 0.7646650191505521, 0.7645737451755563, 0.7644846440314643, 0.7643975722388441, 0.7643124022939641, 0.7642290214611402, 0.7641473308517704, 0.764067244710914, 0.7639886898308836, 0.7639116050190328, 0.7638359405606469, 0.7637616576343671, 0.7636887276541506, 0.7636171315264372, 0.7635468588228789, 0.7634779068773575]",0.017295864262990457
MF,70.0,,32.0,0.01,,0.686559458475891,,"[9.226476567384843, 1.1835561303305173, 1.0463345055952962, 0.9850108429367568, 0.9475017323683015, 0.9209035465514127, 0.9007437943025152, 0.884877729114138, 0.8719855593039324, 0.861179182376286, 0.851854714696976, 0.8435994540483028, 0.8361300279669733, 0.8292519857331625, 0.8228324101687953, 0.8167808142798567, 0.8110358012825237, 0.8055557830763267, 0.8003124901872738, 0.7952864059839706, 0.790463574674335, 0.785833424937195, 0.7813873485183038, 0.7771178244075283, 0.7730179171516429, 0.7690810148857655, 0.7653007090398309, 0.7616707499239375, 0.7581850378851421, 0.7548376278219737, 0.7516227364157725, 0.7485347480462132, 0.7455682186175441, 0.742717877778161, 0.7399786302377042, 0.7373455566851347, 0.7348139145230709, 0.732379138406542, 0.7300368404485004, 0.7277828099179923, 0.7256130122801292, 0.7235235874804585, 0.7215108474377747, 0.7195712727651671, 0.7177015087824932, 0.7158983609126898, 0.7141587895704304, 0.7124799046569779, 0.7108589597724244, 0.7092933462484551, 0.7077805870934825, 0.7063183309291616, 0.7049043459841384, 0.703536514198214, 0.7022128254784655, 0.700931372138505, 0.6996903435431007, 0.6984880209728407, 0.6973227727172929, 0.6961930494000927, 0.6950973795354446, 0.6940343653124867, 0.6930026786017175, 0.6920010571760684, 0.6910283011381174, 0.6900832695442688, 0.6891648772163764, 0.6882720917311913, 0.6874039305781061, 0.686559458475891]",0.019915164369034996
MF,70.0,,32.0,0.1,,0.0,,"[9.165410516159453, 1.0211055603764827, 0.8721384586147299, inf, 0.0009388009750001733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03214209968186638
MF,70.0,,64.0,0.01,,0.6474866007330979,,"[17.189820132705428, 1.1862577613093763, 0.9970051997407189, 0.9189309247632886, 0.8758821791921192, 0.8486514803814038, 0.8297430788275484, 0.8156059718172396, 0.8043754320982741, 0.7950038903797945, 0.7868758092887179, 0.7796181640481714, 0.7729999821066535, 0.7668758043942207, 0.7611523225370731, 0.755768078860021, 0.7506809662785737, 0.7458605712566551, 0.7412835688876469, 0.7369310253503847, 0.7327868608268527, 0.728836990861984, 0.7250688455186364, 0.7214710878881178, 0.718033432379384, 0.7147465112186112, 0.71160176485695, 0.708591346223152, 0.7057080354039719, 0.7029451639210699, 0.7002965484191953, 0.6977564334561057, 0.6953194427704403, 0.6929805381444234, 0.6907349848447533, 0.6885783226097016, 0.6865063412185695, 0.6845150597942967, 0.6826007091218298, 0.6807597163943339, 0.6789886919155499, 0.6772844173849464, 0.675643835472241, 0.6740640404510415, 0.6725422697104037, 0.6710758960008781, 0.6696624203006449, 0.6682994652098115, 0.6669847687985048, 0.6657161788483165, 0.6644916474378421, 0.6633092258321484, 0.6621670596434429, 0.6610633842363464, 0.6599965203561758, 0.6589648699627491, 0.65796691225552, 0.6570011998784953, 0.656066355295444, 0.6551610673275066, 0.6542840878464965, 0.653434228618063, 0.652610358289494, 0.6518113995173516, 0.6510363262303961, 0.6502841610234048, 0.6495539726775688, 0.6488448738031752, 0.6481560186002849, 0.6474866007330979]",0.020848356309650054
MF,70.0,,64.0,0.1,,0.0,,"[17.14111258004045, 0.03318365140730051, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03214209968186638
MF,70.0,,128.0,0.01,,0.6296186566880275,,"[33.07692542165787, 1.3723115872716913, 0.9878870079894986, 0.861576105986432, 0.8015442563188485, 0.7683379991821756, 0.7479429499666997, 0.7343024084596361, 0.7244809326655209, 0.7169447852294032, 0.710849111678272, 0.705709277731333, 0.7012374289727121, 0.6972567101408189, 0.6936544521889411, 0.6903559088274821, 0.6873092432068826, 0.6844768324240825, 0.6818301735637621, 0.6793468586314668, 0.6770087424183266, 0.6748008003895042, 0.6727103881793083, 0.6707267379730844, 0.6688405981146128, 0.667043962741008, 0.6653298610258995, 0.6636921882860819, 0.6621255681968855, 0.660625239210492, 0.6591869604170639, 0.6578069333272571, 0.6564817368174257, 0.6552082729927327, 0.6539837221043734, 0.6528055049621159, 0.6516712515390292, 0.6505787746837085, 0.649526048042132, 0.6485111874497872, 0.6475324351876108, 0.6465881466054382, 0.6456767787070541, 0.6447968803646132, 0.6439470838900233, 0.643126097739409, 0.6423327001662159, 0.6415657336706437, 0.6408241001194016, 0.6401067564313675, 0.6394127107425346, 0.6387410189783298, 0.6380907817735524, 0.6374611416902556, 0.6368512806922347, 0.636260417841686, 0.635687807189311, 0.6351327358338572, 0.6345945221309721, 0.6340725140344645, 0.6335660875557023, 0.6330746453290564, 0.632597615273086, 0.6321344493386345, 0.6316846223362109, 0.631247630836027, 0.6308229921348754, 0.6304102432847069, 0.6300089401783188, 0.6296186566880275]",0.022120890774125136
MF,70.0,,128.0,0.1,,0.0,,"[33.1195564441544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03214209968186638
